arrival_delay_minutes,aircraft_type,gate_availability,ground_staff_level,weather_condition,time_of_day,turnaround_delay_risk,turnaround_delay_minutes
102,Widebody,Available,Low,Clear,Peak,1,155
51,Widebody,Available,Adequate,Clear,Peak,1,82
92,Widebody,Available,Adequate,Clear,Off-Peak,1,139
14,Narrowbody,Available,Adequate,Rain,Off-Peak,0,14
106,Narrowbody,Available,Adequate,Rain,Off-Peak,1,131
71,Widebody,Available,Adequate,Clear,Peak,1,111
60,Widebody,Constrained,Adequate,Rain,Off-Peak,1,72
20,Narrowbody,Available,Adequate,Storm,Off-Peak,0,20
102,Widebody,Available,Adequate,Storm,Peak,1,153
82,Widebody,Constrained,Adequate,Clear,Off-Peak,1,109
86,Narrowbody,Available,Adequate,Clear,Off-Peak,1,121
74,Narrowbody,Available,Adequate,Clear,Off-Peak,1,96
74,Narrowbody,Available,Low,Storm,Peak,1,101
87,Narrowbody,Available,Low,Clear,Peak,1,99
116,Narrowbody,Available,Adequate,Clear,Peak,1,148
99,Widebody,Constrained,Adequate,Clear,Off-Peak,1,111
103,Narrowbody,Available,Adequate,Clear,Off-Peak,1,137
23,Narrowbody,Available,Low,Clear,Peak,0,23
2,Narrowbody,Available,Adequate,Storm,Peak,0,2
21,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,21
52,Widebody,Constrained,Adequate,Clear,Peak,1,100
1,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,1
87,Narrowbody,Available,Adequate,Clear,Off-Peak,1,120
107,Widebody,Available,Low,Clear,Peak,1,124
29,Narrowbody,Available,Adequate,Clear,Off-Peak,0,29
37,Narrowbody,Available,Adequate,Clear,Peak,0,37
1,Narrowbody,Available,Low,Clear,Off-Peak,0,1
63,Narrowbody,Available,Low,Clear,Off-Peak,1,102
59,Narrowbody,Available,Adequate,Clear,Peak,1,87
20,Narrowbody,Available,Adequate,Storm,Peak,0,20
32,Narrowbody,Available,Adequate,Storm,Off-Peak,0,32
75,Widebody,Available,Low,Clear,Off-Peak,1,128
57,Narrowbody,Available,Adequate,Clear,Peak,1,87
21,Narrowbody,Available,Low,Storm,Off-Peak,1,66
107,Narrowbody,Available,Adequate,Clear,Peak,1,156
88,Narrowbody,Constrained,Adequate,Rain,Peak,1,136
48,Narrowbody,Available,Adequate,Storm,Off-Peak,1,104
90,Narrowbody,Available,Adequate,Clear,Off-Peak,1,105
58,Widebody,Available,Adequate,Clear,Off-Peak,1,72
41,Narrowbody,Constrained,Adequate,Storm,Peak,1,64
91,Narrowbody,Available,Adequate,Clear,Off-Peak,1,145
59,Narrowbody,Available,Low,Clear,Off-Peak,1,110
